experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,config,mass
H_Hydrogen_benchmark,f32,0,1000,95.7,95.7,95.7,0,0,Z=1 | H (Hydrogen) | 1.008 u | nonmetal | 1s¹,nonmetal,H,Hydrogen,1s¹,1.008
Db_Dubnium_benchmark,f32,82,10000,8299.3444,8299.3444,8299.3444,0,121951.21951219512,Z=105 | Db (Dubnium) | 268.126 u | transition_metal | [Rn] 5f¹⁴ 6d³ 7s²,transition_metal,Db,Dubnium,[Rn] 5f¹⁴ 6d³ 7s²,268.126
Sg_Seaborgium_benchmark,f64,8,1000,8248.202,8248.202,8248.202,0,125000,Z=106 | Sg (Seaborgium) | 269.129 u | transition_metal | [Rn] 5f¹⁴ 6d⁴ 7s²,transition_metal,Sg,Seaborgium,[Rn] 5f¹⁴ 6d⁴ 7s²,269.129
Bh_Bohrium_benchmark,f32,42,5000,8444.8834,8444.8834,8444.8834,0,119047.61904761905,Z=107 | Bh (Bohrium) | 270.134 u | transition_metal | [Rn] 5f¹⁴ 6d⁵ 7s²,transition_metal,Bh,Bohrium,[Rn] 5f¹⁴ 6d⁵ 7s²,270.134
Hs_Hassium_benchmark,f64,85,10000,8561.1005,8561.1005,8561.1005,0,117647.05882352941,Z=108 | Hs (Hassium) | 269.134 u | transition_metal | [Rn] 5f¹⁴ 6d⁶ 7s²,transition_metal,Hs,Hassium,[Rn] 5f¹⁴ 6d⁶ 7s²,269.134
Mt_Meitnerium_benchmark,f32,8,1000,8466.372,8466.372,8466.372,0,125000,Z=109 | Mt (Meitnerium) | 278.156 u | unknown | [Rn] 5f¹⁴ 6d⁷ 7s²,unknown,Mt,Meitnerium,[Rn] 5f¹⁴ 6d⁷ 7s²,278.156
Ds_Darmstadtium_benchmark,f64,42,5000,8539.7394,8539.7394,8539.7394,0,119047.61904761905,Z=110 | Ds (Darmstadtium) | 281.165 u | unknown | [Rn] 5f¹⁴ 6d⁸ 7s²,unknown,Ds,Darmstadtium,[Rn] 5f¹⁴ 6d⁸ 7s²,281.165
Rg_Roentgenium_benchmark,f32,85,10000,8503.5095,8503.5095,8503.5095,0,117647.05882352941,Z=111 | Rg (Roentgenium) | 282.169 u | unknown | [Rn] 5f¹⁴ 6d⁹ 7s²,unknown,Rg,Roentgenium,[Rn] 5f¹⁴ 6d⁹ 7s²,282.169
Cn_Copernicium_benchmark,f64,10,1000,10129.102,10129.102,10129.102,0,100000,Z=112 | Cn (Copernicium) | 285.177 u | unknown | [Rn] 5f¹⁴ 6d¹⁰ 7s²,unknown,Cn,Copernicium,[Rn] 5f¹⁴ 6d¹⁰ 7s²,285.177
Nh_Nihonium_benchmark,f32,43,5000,8676.4114,8676.4114,8676.4114,0,116279.06976744186,Z=113 | Nh (Nihonium) | 286.182 u | unknown | [Rn] 5f¹⁴ 6d¹⁰ 7s² 7p¹,unknown,Nh,Nihonium,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p¹,286.182
Fl_Flerovium_benchmark,f64,89,10000,8943.0796,8943.0796,8943.0796,0,112359.55056179775,Z=114 | Fl (Flerovium) | 289.19 u | unknown | [Rn] 5f¹⁴ 6d¹⁰ 7s² 7p²,unknown,Fl,Flerovium,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p²,289.19
Mc_Moscovium_benchmark,f32,8,1000,8776.392,8776.392,8776.392,0,125000,Z=115 | Mc (Moscovium) | 290.196 u | unknown | [Rn] 5f¹⁴ 6d¹⁰ 7s² 7p³,unknown,Mc,Moscovium,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p³,290.196
Lv_Livermorium_benchmark,f64,44,5000,8886.0776,8886.0776,8886.0776,0,113636.36363636363,Z=116 | Lv (Livermorium) | 293.205 u | unknown | [Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁴,unknown,Lv,Livermorium,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁴,293.205
Ts_Tennessine_benchmark,f32,90,10000,9014.7285,9014.7285,9014.7285,0,111111.11111111111,Z=117 | Ts (Tennessine) | 294 u | halogen | [Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁵ (predicted),halogen,Ts,Tennessine,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁵ (predicted),294
Og_Oganesson_benchmark,f64,9,1000,9093.122,9093.122,9093.122,0,111111.11111111111,Z=118 | Og (Oganesson) | 294 u | noble gas (predicted) | [Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁶ (predicted),noble gas (predicted),Og,Oganesson,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁶ (predicted),294
